cedula,nombres,apellidos,programa,sede,codigo_opsu
V-12345678,Carlos,Mendoza,Ingeniería en Sistemas,Sede Principal,SIS00125
V-23456789,María,González,Medicina,Sede Principal,MED00342
E-34567890,Juan,Pérez,Derecho,Sede Principal,DER00567
V-45678901,Ana,Rodríguez,Derecho,Calabozo,DER00568
V-56789012,Luis,Martínez,Medicina,Sede Principal,MED00343
V-67890123,Carmen,Díaz,Ingeniería en Sistemas,Sede Principal,SIS00126
V-78901234,Pedro,Sánchez,Derecho,Calabozo,DER00569
V-89012345,Laura,Hernández,Medicina,Sede Principal,MED00344
E-90123456,Miguel,Torres,Ingeniería en Sistemas,Sede Principal,SIS00127
V-10111213,Andrea,Vargas,Derecho,Sede Principal,DER00570
V-20212223,José,Castillo,Medicina,Sede Principal,MED00345
V-30313233,Isabella,Flores,Ingeniería en Sistemas,Sede Principal,SIS00128
V-40414243,Alejandro,Ramos,Derecho,Calabozo,DER00571
V-50515253,Valentina,Morales,Medicina,Sede Principal,MED00346
V-60616263,Gabriel,Jiménez,Ingeniería en Sistemas,Sede Principal,SIS00129
