cedula,nombres,apellidos,programa,sede,codigo_opsu
V-12345678,María José,Rodríguez Martínez,Ingeniería en Sistemas,Sede Principal,OP2025-001
V-23456789,Carlos Eduardo,Gómez Pérez,Ingeniería en Sistemas,Sede Principal,OP2025-002
V-34567890,Ana María,López García,Medicina,Sede Principal,OP2025-003
V-45678901,Luis Alberto,Fernández Torres,Medicina,Sede Principal,OP2025-004
V-56789012,Carmen Elena,Ramírez González,Derecho,Sede Principal,OP2025-005
V-67890123,José Antonio,Pérez Mendoza,Derecho,Calabozo,OP2025-006
E-12345678,Andrés Felipe,Torres Castro,Ingeniería en Sistemas,Sede Principal,OP2025-007
V-78901234,Daniela Alejandra,Castillo Blanco,Medicina,Sede Principal,OP2025-008
V-89012345,Miguel Ángel,Rivas Morales,Derecho,Calabozo,OP2025-009
V-90123456,Patricia Isabel,Blanco Fuentes,Ingeniería en Sistemas,Sede Principal,OP2025-010
V-10111213,Roberto Carlos,Miranda Vargas,Medicina,Sede Principal,OP2025-011
V-11121314,Carolina Andrea,Paredes León,Derecho,Sede Principal,OP2025-012
E-23456789,Gabriel José,Márquez Solís,Derecho,Calabozo,OP2025-013
V-12131415,Valentina Isabel,Soto Mendez,Medicina,Sede Principal,OP2025-014
V-13141516,Santiago Andrés,Moreno Camacho,Ingeniería en Sistemas,Sede Principal,OP2025-015
